gene_name_K12	gene_name_SL1344	gene_name_LT2	gene_name_14028s	gene_name_ST474	gene_id_K12	gene_id_SL1344	gene_id_LT2	gene_id_14028s	gene_id_ST474	ortho_id
fic	SL1344_RS17910	fic	STM14_RS18415	STM474_RS17910	b3361	SL1344_RS17910	STM3470	STM14_RS18415	STM474_RS17910	ortho_1214
murE	SL1344_RS00625	murE	STM14_RS01195	murE	b0085	SL1344_RS00625	STM0123	STM14_RS01195	STM474_RS00625	ortho_1215
sxy	SL1344_RS05265	yccR	STM14_RS05850	STM474_RS05265	b0959	SL1344_RS05265	STM1072	STM14_RS05850	STM474_RS05265	ortho_1216
ynbE	SL1344_RS08195	ynbE	STM14_RS09095	STM474_RS08195	b1382	SL1344_RS08195	STM1645	STM14_RS09095	STM474_RS08195	ortho_1217
yejB	SL1344_RS11385	yejB	yejB	STM474_RS11385	b2178	SL1344_RS11385	STM2217	STM14_RS12290	STM474_RS11385	ortho_1218
rarD	SL1344_RS20335	rarD	rarD	rarD	b3819	SL1344_RS20335	STM3955	STM14_RS15970	STM474_RS15445	ortho_1219
yqjF	SL1344_RS16705	yqjF	STM14_RS17235	STM474_RS16705	b3101	SL1344_RS16705	STM3232	STM14_RS17235	STM474_RS16705	ortho_1220
rpoB	rpoB	rpoB	STM14_RS21820	rpoB	b3987	SL1344_RS21320	STM4153	STM14_RS21820	STM474_RS21320	ortho_1221
ppiC	SL1344_RS20120	ppiC	STM14_RS20620	ppiC	b3775	SL1344_RS20120	STM3910	STM14_RS20620	STM474_RS20120	ortho_1222
yqgB	SL1344_RS15975	yqgB	STM14_RS16500	yqgB	b2939	SL1344_RS15975	STM3087	STM14_RS16500	STM474_RS15975	ortho_1223
yehY	SL1344_RS11125	yehY	STM14_RS12030	STM474_RS11125	b2130	SL1344_RS11125	STM2164	STM14_RS12030	STM474_RS11125	ortho_1224
yciE	SL1344_RS08645	yciE	STM14_RS09550	STM474_RS08645	b1257	SL1344_RS08645	STM1730	STM14_RS09550	STM474_RS08645	ortho_1225
dnaG	SL1344_RS16595	dnaG	STM14_RS17125	dnaG	b3066	SL1344_RS16595	STM3210	STM14_RS17125	STM474_RS16595	ortho_1226
lysU	lysS	lysS	STM14_RS16250	NA	b4129	SL1344_RS15725	STM3040	STM14_RS16250	NA	ortho_1227
lyxK	SL1344_RS18935	lyxK	STM14_RS19440	STM474_RS18935	b3580	SL1344_RS18935	STM3674	STM14_RS19440	STM474_RS18935	ortho_1228
dcp	SL1344_RS07515	dcp	dcp	dcp	b1538	SL1344_RS07515	STM1512	STM14_RS08415	STM474_RS07515	ortho_1229
wecF	SL1344_RS20200	rffT	STM14_RS20700	STM474_RS20200	b4481	SL1344_RS20200	STM3927	STM14_RS20700	STM474_RS20200	ortho_1230
hldE	SL1344_RS16545	rfaE	STM14_RS17075	hldE	b3052	SL1344_RS16545	STM3200	STM14_RS17075	STM474_RS16545	ortho_1231
pgpC	SL1344_RS13165	yfhB	STM14_RS14070	yfhb	b2560	SL1344_RS13165	STM2569	STM14_RS14070	STM474_RS13165	ortho_1232
umuD	SL1344_RS09990	umuD	umuD	STM474_RS09990	b1183	SL1344_RS09990	STM1998	STM14_RS10895	STM474_RS09990	ortho_1233
hypC	hypC	hypC	hypC	hypC	b2728	SL1344_RS07630	STM2856	STM14_RS15320	STM474_RS07630	ortho_1234
rarA	mgsA	mgsA	STM14_RS05870	mgsA	b0892	SL1344_RS05285	STM1076	STM14_RS05870	STM474_RS05285	ortho_1235
fhuF	SL1344_RS23345	fhuF	fhuF	fhuF	b4367	SL1344_RS23345	STM4550	STM14_RS23840	STM474_RS23345	ortho_1236
trpS	trpS	trpS	STM14_RS18470	trpS	b3384	SL1344_RS17965	STM3481	STM14_RS18470	STM474_RS17965	ortho_1237
chbF	SL1344_RS06540	celF	STM14_RS07440	STM474_RS06540	b1734	SL1344_RS06540	STM1316	STM14_RS07440	STM474_RS06540	ortho_1238
yqgE	SL1344_RS16015	yqgE	STM14_RS16540	STM474_RS16015	b2948	SL1344_RS16015	STM3096	STM14_RS16540	STM474_RS16015	ortho_1239
casA	casA	STM2943	casA	casA	b2760	SL1344_RS15225	STM2943	STM14_RS15755	STM474_RS15225	ortho_1240
sgrT	SL1344_RS00555	NA	sgrT	sgrT	b4662	SL1344_RS00555	NA	STM14_RS01125	STM474_RS00555	ortho_1241
rnk	SL1344_RS03110	rnk	STM14_RS03685	rnk	b0610	SL1344_RS03110	STM0616	STM14_RS03685	STM474_RS03110	ortho_1242
livJ	SL1344_RS18385	livJ	STM14_RS18890	livJ	b3460	SL1344_RS18385	STM3567	STM14_RS18890	STM474_RS18385	ortho_1243
kbl	kbl	kbl	kbl	kbl	b3617	SL1344_RS19110	STM3709	STM14_RS19615	STM474_RS19110	ortho_1244
gadX	SL1344_RS24155	srgC	STM14_RS00040	STM474_RS24150	b3516	SL1344_RS24155	PSLT008	STM14_RS00040	STM474_RS24150	ortho_1245
dinG	SL1344_RS04155	dinG	dinG	dinG	b0799	SL1344_RS04155	STM0821	STM14_RS04740	STM474_RS04155	ortho_1246
pth	SL1344_RS08900	pth	STM14_RS09805	pth	b1204	SL1344_RS08900	STM1783	STM14_RS09805	STM474_RS08900	ortho_1247
gabP	SL1344_RS14460	gabP	STM14_RS14990	gabP	b2663	SL1344_RS14460	STM2793	STM14_RS14990	STM474_RS14460	ortho_1248
hisA	hisA	hisA	STM14_RS11585	hisA	b2024	SL1344_RS10680	STM2076	STM14_RS11585	STM474_RS10680	ortho_1249
ycgL	SL1344_RS09050	ycgL	STM14_RS09955	STM474_RS09050	b1179	SL1344_RS09050	STM1813	STM14_RS09955	STM474_RS09050	ortho_1250
preA	SL1344_RS11235	yeiA	preA	preA	b2147	SL1344_RS11235	STM2187	STM14_RS12140	STM474_RS11235	ortho_1251
atpF	SL1344_RS19920	atpF	atpF	atpF	b3736	SL1344_RS19920	STM3869	STM14_RS20425	STM474_RS19920	ortho_1252
cof	SL1344_RS02335	cof	STM14_RS02905	cof	b0446	SL1344_RS02335	STM0457	STM14_RS02905	STM474_RS02335	ortho_1253
mtfA	SL1344_RS10280	mtfA	mtfA	mtfA	b1976	SL1344_RS10280	STM2001	STM14_RS11185	STM474_RS10280	ortho_1254
tsgA	SL1344_RS17925	yhfC	STM14_RS18430	tsgA	b3364	SL1344_RS17925	STM3473	STM14_RS18430	STM474_RS17925	ortho_1255
rsmG	SL1344_RS19940	gidB	STM14_RS20445	rsmG	b3740	SL1344_RS19940	STM3873	STM14_RS20445	STM474_RS19940	ortho_1256
pcnB	SL1344_RS00935	pcnB	pcnB	pcnB	b0143	SL1344_RS00935	STM0184	STM14_RS01505	STM474_RS00935	ortho_1257
lsrC	SL1344_RS20940	lsrC	lsrC	lsrC	b1514	SL1344_RS20940	STM4075	STM14_RS21440	STM474_RS20940	ortho_1258
ymfL	SL1344_RS10205	NA	STM14_2472	STM474_RS10205	b1147	SL1344_RS10205	NA	STM14_RS11110	STM474_RS10205	ortho_1259
recX	SL1344_RS14645	oraA	recX	recX	b2698	SL1344_RS14645	STM2828	STM14_RS15175	STM474_RS14645	ortho_1260
xanP	SL1344_RS19300	yicE	STM14_RS19805	xanP	b3654	SL1344_RS19300	STM3747	STM14_RS19805	STM474_RS19300	ortho_1261
flgG	flgG	flgG	flgG	flgG	b1078	SL1344_RS05810	STM1179	STM14_RS06395	STM474_RS05810	ortho_1262
xylR	SL1344_RS18870	xylR	xylR	STM474_RS18870	b3569	SL1344_RS18870	STM3662	STM14_RS19375	STM474_RS18870	ortho_1263
fadR	SL1344_RS09010	fadR	fadR	fadR	b1187	SL1344_RS09010	STM1805	STM14_RS09915	STM474_RS09010	ortho_1264
ydgK	SL1344_RS07255	ydgK	STM14_RS08155	STM474_RS07255	b1626	SL1344_RS07255	STM1460	STM14_RS08155	STM474_RS07255	ortho_1265
oppC	SL1344_RS08715	oppC	STM14_RS09620	oppC	b1245	SL1344_RS08715	STM1744	STM14_RS09620	STM474_RS08715	ortho_1266
nrfD	nrfD	nrfD	nrfD	nrfD	b4073	SL1344_RS21965	STM4280	STM14_RS22465	STM474_RS21965	ortho_1267
zwf	zwf	zwf	STM14_RS10340	zwf	b1852	SL1344_RS09435	STM1886	STM14_RS10340	STM474_RS09435	ortho_1268
frr	SL1344_RS01110	frr	STM14_RS01680	frr	b0172	SL1344_RS01110	STM0219	STM14_RS01680	STM474_RS01110	ortho_1269
yhaL	SL1344_RS16730	yhaL	yhaL	STM474_RS16730	b3107	SL1344_RS16730	STM3237	STM14_RS17260	STM474_RS16730	ortho_1270
gntT	SL1344_RS18120	gntT	gntT	gntT	b3415	SL1344_RS18120	STM3512	STM14_RS18625	STM474_RS18120	ortho_1271
pepE	SL1344_RS21510	pepE	STM14_RS22010	pepE	b4021	SL1344_RS21510	STM4190	STM14_RS22010	STM474_RS21510	ortho_1272
mltG	SL1344_RS05915	yceG	yceG	yceG	b1097	SL1344_RS05915	STM1199	STM14_RS06500	STM474_RS05915	ortho_1273
rimM	rimM	rimM	rimM	rimM	b2608	SL1344_RS13795	STM2675	STM14_RS14620	STM474_RS13795	ortho_1274
yfeO	SL1344_RS12340	STM2404	STM14_RS13245	STM474_RS12340	b2389	SL1344_RS12340	STM2404	STM14_RS13245	STM474_RS12340	ortho_1275
metA	SL1344_RS21470	metA	STM14_RS21970	metA	b4013	SL1344_RS21470	STM4182	STM14_RS21970	STM474_RS21470	ortho_1276
acrF	SL1344_RS17515	acrD	mdsB	STM474_RS17515	b3266	SL1344_RS17515	STM2481	STM14_RS02365	STM474_RS17515	ortho_1277
dnaJ	dnaJ	dnaJ	dnaJ	dnaJ	b0015	SL1344_RS00065	STM0013	STM14_RS00630	STM474_RS00065	ortho_1278
rsmH	SL1344_RS00610	yabC	STM14_RS01180	rsmH	b0082	SL1344_RS00610	STM0120	STM14_RS01180	STM474_RS00610	ortho_1279
rdgB	SL1344_RS16050	yggV	STM14_RS16575	STM474_RS16050	b2954	SL1344_RS16050	STM3103	STM14_RS16575	STM474_RS16050	ortho_1280
cybB	SL1344_RS08165	cybB	STM14_RS09065	cybB	b1418	SL1344_RS08165	STM1639	STM14_RS09065	STM474_RS08165	ortho_1281
ptsA	ptsP	ptsA	STM14_RS21620	ptsP	b3947	SL1344_RS21120	STM4110	STM14_RS21620	STM474_RS15535	ortho_1282
citD	citD	citD	STM14_RS03720	citD	b0617	SL1344_RS00300	STM0623	STM14_RS03720	STM474_RS00300	ortho_1283
yecA	SL1344_RS09695	yecA	STM14_RS10600	STM474_RS09695	b1908	SL1344_RS09695	STM1938	STM14_RS10600	STM474_RS09695	ortho_1284
rhmD	SL1344_RS11760	rhmD	STM14_RS12665	rhmD	b2247	SL1344_RS11760	STM2291	STM14_RS12665	STM474_RS11760	ortho_1285
yibQ	SL1344_RS19095	yigQ	STM14_RS19600	STM474_RS19095	b3614	SL1344_RS19095	STM3706	STM14_RS19600	STM474_RS19095	ortho_1286
aat	SL1344_RS04640	aat	STM14_RS05225	aat	b0885	SL1344_RS04640	STM0955	STM14_RS05225	STM474_RS04640	ortho_1287
yihL	phnR	phnR	STM14_RS02770	phnR	b3872	SL1344_RS02200	STM0430	STM14_RS02770	STM474_RS02200	ortho_1288
dicA	SL1344_RS04930	STM1012	STM14_RS05515	NA	b1570	SL1344_RS04930	STM1012	STM14_RS05515	NA	ortho_1289
aidB	SL1344_RS22470	aidB	STM14_RS22965	STM474_RS22470	b4187	SL1344_RS22470	STM4377	STM14_RS22965	STM474_RS22470	ortho_1290
ilvH	SL1344_RS00595	ilvH	STM14_RS01165	ilvN	b0078	SL1344_RS00595	STM0117	STM14_RS01165	STM474_RS00595	ortho_1291
ruvC	SL1344_RS09495	ruvC	ruvC	ruvC	b1863	SL1344_RS09495	STM1898	STM14_RS10400	STM474_RS09495	ortho_1292
ahpF	SL1344_RS03075	ahpF	STM14_RS03650	ahpF	b0606	SL1344_RS03075	STM0609	STM14_RS03650	STM474_RS03075	ortho_1293
mdaB	SL1344_RS16440	mdaB	STM14_RS16970	STM474_RS16440	b3028	SL1344_RS16440	STM3179	STM14_RS16970	STM474_RS16440	ortho_1294
emtA	SL1344_RS08980	emtA	emtA	emtA	b1193	SL1344_RS08980	STM1799	STM14_RS09885	STM474_RS08980	ortho_1295
ubiX	SL1344_RS12090	ubiX	STM14_RS12995	STM474_RS12090	b2311	SL1344_RS12090	STM2356	STM14_RS12995	STM474_RS12090	ortho_1296
clpP	clpP	clpP	STM14_RS02860	clpP	b0437	SL1344_RS02290	STM0448	STM14_RS02860	STM474_RS02290	ortho_1297
hyaE	SL1344_RS08935	hyaE	hyaE	hyaE	b0976	SL1344_RS08935	STM1790	STM14_RS09840	STM474_RS08935	ortho_1298
yqiJ	SL1344_RS16535	STM3198	STM14_RS17065	STM474_RS16535	b3050	SL1344_RS16535	STM3198	STM14_RS17065	STM474_RS16535	ortho_1299
cadA	SL1344_RS13115	cadA	cadA	cadA	b4131	SL1344_RS13115	STM2559	STM14_RS14020	STM474_RS13115	ortho_1300
pdeB	SL1344_RS02385	ylaB	STM14_RS02955	STM474_RS02385	b0457	SL1344_RS02385	STM0468	STM14_RS02955	STM474_RS02385	ortho_1301
yfaZ	SL1344_RS11775	yfaZ	STM14_RS12680	STM474_RS11775	b2250	SL1344_RS11775	STM2294	STM14_RS12680	STM474_RS11775	ortho_1302
yeiB	SL1344_RS11260	yeiB	STM14_RS12165	STM474_RS11260	b2152	SL1344_RS11260	STM2192	STM14_RS12165	STM474_RS11260	ortho_1303
kdgR	SL1344_RS09200	kdgR	kdgR	kdgR	b1827	SL1344_RS09200	STM1842	STM14_RS10105	STM474_RS09200	ortho_1304
argA	SL1344_RS15475	argA	STM14_RS16000	argA	b2818	SL1344_RS15475	STM2992	STM14_RS16000	STM474_RS15475	ortho_1305
ytfF	SL1344_RS22585	ytfF	STM14_RS23080	STM474_RS22585	b4210	SL1344_RS22585	STM4400	STM14_RS23080	STM474_RS22585	ortho_1306
torR	SL1344_RS19685	torR	torR	torR	b0995	SL1344_RS19685	STM3824	STM14_RS20190	STM474_RS19685	ortho_1307
mscK	SL1344_RS02435	aefA	mscK	mscK	b0465	SL1344_RS02435	STM0478	STM14_RS03005	STM474_RS02435	ortho_1308
bioA	SL1344_RS04015	bioA	bioA	bioA	b0774	SL1344_RS04015	STM0793	STM14_RS04590	STM474_RS04015	ortho_1309
nac	SL1344_RS03495	STM0692	STM14_RS04070	tcuR	b1988	SL1344_RS03495	STM0692	STM14_RS04070	STM474_RS03495	ortho_1310
nudC	SL1344_RS21385	yjaD	nudC	nudC	b3996	SL1344_RS21385	STM4166	STM14_RS21885	STM474_RS21385	ortho_1311
rbsC	SL1344_RS19990	rbsC	STM14_RS20495	rbsC	b3750	SL1344_RS19990	STM3883	STM14_RS20495	STM474_RS19990	ortho_1312
yecF	SL1344_RS09750	yecF	STM14_RS10655	STM474_RS09750	b1915	SL1344_RS09750	STM1949	STM14_RS10655	STM474_RS09750	ortho_1313
yebS	SL1344_RS09230	yebS	STM14_RS10135	yebS	b1833	SL1344_RS09230	STM1848	STM14_RS10135	STM474_RS09230	ortho_1314
fliP	fliP	fliP	fliP	fliP	b1948	SL1344_RS09900	STM1979	STM14_RS10805	STM474_RS09900	ortho_1315
galK	SL1344_RS03920	galK	STM14_RS04495	galK	b0757	SL1344_RS03920	STM0774	STM14_RS04495	STM474_RS03920	ortho_1316
sgrR	SL1344_RS00550	yabN	sgrR	sgrR	b0069	SL1344_RS00550	STM0109	STM14_RS01120	STM474_RS00550	ortho_1317
mdfA	SL1344_RS04385	mdfA	mdfA	STM474_RS04385	b0842	SL1344_RS04385	STM0866	STM14_RS04970	STM474_RS04385	ortho_1318
aceA	SL1344_RS21480	aceA	STM14_RS21980	aceA	b4015	SL1344_RS21480	STM4184	STM14_RS21980	STM474_RS21480	ortho_1319
bfd	SL1344_RS17780	bfd	STM14_RS18285	bfd	b3337	SL1344_RS17780	STM3444	STM14_RS18285	STM474_RS17780	ortho_1320
fepC	SL1344_RS02980	fepC	fepC	fepC	b0588	SL1344_RS02980	STM0590	STM14_RS03555	STM474_RS02980	ortho_1321
ydgJ	SL1344_RS07270	ydgJ	STM14_RS08170	STM474_RS07270	b1624	SL1344_RS07270	STM1462	STM14_RS08170	STM474_RS07270	ortho_1322
aphA	aphA	aphA	aphA	aphA	b4055	SL1344_RS21810	STM4249	STM14_RS22310	STM474_RS21810	ortho_1323
zraS	SL1344_RS21420	hydH	zraS	zraS	b4003	SL1344_RS21420	STM4173	STM14_RS21920	STM474_RS21420	ortho_1324
aaeB	SL1344_RS17375	aaeB	aaeB	aaeB	b3240	SL1344_RS17375	STM3364	STM14_RS17880	STM474_RS17375	ortho_1325
yfeK	SL1344_RS12520	yfeK	STM14_RS13425	STM474_RS12520	b2419	SL1344_RS12520	STM2438	STM14_RS13425	STM474_RS12520	ortho_1326
zupT	SL1344_RS16495	zupT	zupT	zupT	b3040	SL1344_RS16495	STM3190	STM14_RS17025	STM474_RS16495	ortho_1327
pheA	pheA	pheA	STM14_RS14580	pheA	b2599	SL1344_RS13685	STM2667	STM14_RS14580	STM474_RS13685	ortho_1328
yhaJ	SL1344_RS16720	yhaJ	STM14_RS17250	yhaJ	b3105	SL1344_RS16720	STM3235	STM14_RS17250	STM474_RS16720	ortho_1329
menH	SL1344_RS11845	yfbB	STM14_RS12750	menH	b2263	SL1344_RS11845	STM2308	STM14_RS12750	STM474_RS11845	ortho_1330
rhaD	SL1344_RS20790	rhaD	STM14_RS21290	rhaD	b3902	SL1344_RS20790	STM4045	STM14_RS21290	STM474_RS20790	ortho_1331
wcaE	wcaE	wcaE	wcaE	wcaE	b2055	SL1344_RS10855	STM2111	STM14_RS11760	STM474_RS10855	ortho_1332
rfbC	SL1344_RS10780	rfbD	STM14_RS11685	rfbD	b2038	SL1344_RS10780	STM2096	STM14_RS11685	STM474_RS10780	ortho_1333
sodA	SL1344_RS20845	sodA	sodA	sodA	b3908	SL1344_RS20845	STM4055	STM14_RS21345	STM474_RS20845	ortho_1334
xseA	SL1344_RS12880	xseA	STM14_RS13785	xseA	b2509	SL1344_RS12880	STM2512	STM14_RS13785	STM474_RS12880	ortho_1335
cysD	SL1344_RS15185	cysD	STM14_RS15715	cysD	b2752	SL1344_RS15185	STM2935	STM14_RS15715	STM474_RS15185	ortho_1336
aaeR	SL1344_RS17390	yhcS	STM14_RS17895	aaeR	b3243	SL1344_RS17390	STM3367	STM14_RS17895	STM474_RS17390	ortho_1337
ysgA	SL1344_RS20395	dlhH	STM14_RS20895	STM474_RS20395	b3830	SL1344_RS20395	STM3967	STM14_RS20895	STM474_RS20395	ortho_1338
nfeR	SL1344_RS16620	yqjI	STM14_RS17150	STM474_RS16620	b3071	SL1344_RS16620	STM3215	STM14_RS17150	STM474_RS16620	ortho_1339
exuT	SL1344_RS16210	exuT	exuT	STM474_RS16210	b3093	SL1344_RS16210	STM3134	STM14_RS16740	STM474_RS16210	ortho_1340
yggT	SL1344_RS16040	yggT	STM14_RS16565	STM474_RS16040	b2952	SL1344_RS16040	STM3101	STM14_RS16565	STM474_RS16040	ortho_1341
asnA	SL1344_RS19960	asnA	STM14_RS20465	asnA	b3744	SL1344_RS19960	STM3877	STM14_RS20465	STM474_RS19960	ortho_1342
yddE	SL1344_RS07880	yddE	STM14_RS08780	STM474_RS07880	b1464	SL1344_RS07880	STM1581	STM14_RS08780	STM474_RS07880	ortho_1343
secE	SL1344_RS21290	secE	secE	secE	b3981	SL1344_RS21290	STM4147	STM14_RS21790	STM474_RS21290	ortho_1344
ytfL	SL1344_RS22620	ytfL	STM14_RS23115	STM474_RS22620	b4218	SL1344_RS22620	STM4407	STM14_RS23115	STM474_RS22620	ortho_1345
rpsM	SL1344_RS17650	rpsM	STM14_RS18155	rpsM	b3298	SL1344_RS17650	STM3418	STM14_RS18155	STM474_RS17650	ortho_1346
hrpB	SL1344_RS00960	hrpB	hrpB	hrpB	b0148	SL1344_RS00960	STM0189	STM14_RS01530	STM474_RS00960	ortho_1347
tsaE	SL1344_RS22370	tsaE	tsaE	tsaE	b4168	SL1344_RS22370	STM4357	STM14_RS22865	STM474_RS22370	ortho_1348
creD	SL1344_RS23545	creD	creD	creD	b4400	SL1344_RS23545	STM4590	STM14_RS24040	STM474_RS23545	ortho_1349
tmk	SL1344_RS05920	tmk	STM14_RS06505	STM474_RS05920	b1098	SL1344_RS05920	STM1200	STM14_RS06505	STM474_RS05920	ortho_1350
viaA	SL1344_RS19965	yieM	STM14_RS20470	viaA	b3745	SL1344_RS19965	STM3878	STM14_RS20470	STM474_RS19965	ortho_1351
rhlB	SL1344_RS20140	rhlB	rhlB	rhlB	b3780	SL1344_RS20140	STM3914	STM14_RS20640	STM474_RS20140	ortho_1352
yebY	SL1344_RS09370	STM1873	STM14_RS10275	STM474_RS09370	b1839	SL1344_RS09370	STM1873	STM14_RS10275	STM474_RS09370	ortho_1353
glpA	SL1344_RS11725	glpA	STM14_RS12630	glpA	b2241	SL1344_RS11725	STM2284	STM14_RS12630	STM474_RS11725	ortho_1354
aroE	SL1344_RS17565	aroE	STM14_RS18070	aroE	b3281	SL1344_RS17565	STM3401	STM14_RS18070	STM474_RS17565	ortho_1355
yedK	SL1344_RS05170	STM1053	STM14_RS07015	STM474_RS05170	b1931	SL1344_RS05170	STM1053	STM14_RS07015	STM474_RS05170	ortho_1356
gntK	SL1344_RS18260	gntK	STM14_RS18765	gntK	b3437	SL1344_RS18260	STM3542	STM14_RS18765	STM474_RS18260	ortho_1357
fkpA	SL1344_RS17825	fkpA	STM14_RS18330	fkpA	b3347	SL1344_RS17825	STM3453	STM14_RS18330	STM474_RS17825	ortho_1358
yfhL	SL1344_RS13200	yfhL	STM14_RS14105	STM474_RS13200	b2562	SL1344_RS13200	STM2576	STM14_RS14105	STM474_RS13200	ortho_1359
ybhC	SL1344_RS03980	ybhC	STM14_RS04555	STM474_RS03980	b0772	SL1344_RS03980	STM0786	STM14_RS04555	STM474_RS03980	ortho_1360
yehC	SL1344_RS11055	stcB	STM14_RS11960	STM474_RS11055	b2110	SL1344_RS11055	STM2151	STM14_RS11960	STM474_RS11055	ortho_1361
pykA	pyk	pykA	STM14_RS10350	pyk	b1854	SL1344_RS09445	STM1888	STM14_RS10350	STM474_RS09445	ortho_1362
rsxD	SL1344_RS07235	ydgO	STM14_RS08135	rsxD	b1630	SL1344_RS07235	STM1456	STM14_RS08135	STM474_RS07235	ortho_1363
lldR	SL1344_RS19030	lldR	lldR	lldR	b3604	SL1344_RS19030	STM3693	STM14_RS19535	STM474_RS19030	ortho_1364
dkgB	SL1344_RS01290	dkgB	dkgB	dkgB	b0207	SL1344_RS01290	STM0255	STM14_RS01860	STM474_RS01290	ortho_1365
puuC	hpaE	hpaE	STM14_RS06000	NA	b1300	SL1344_RS05415	STM1102	STM14_RS06000	NA	ortho_1366
yjhC	SL1344_RS05570	STM1133	STM14_RS06155	STM474_RS05570	b4280	SL1344_RS05570	STM1133	STM14_RS06155	STM474_RS05570	ortho_1367
metN	metN	metN1	metN	metN	b0199	SL1344_RS01250	STM0247	STM14_RS01820	STM474_RS01250	ortho_1368
folP	SL1344_RS17015	folP	STM14_RS17520	folP	b3177	SL1344_RS17015	STM3295	STM14_RS17520	STM474_RS17015	ortho_1369
phoU	phoU	phoU	phoU	phoU	b3724	SL1344_RS19840	STM3853	STM14_RS20345	STM474_RS19840	ortho_1370
diaA	SL1344_RS16870	yraO	diaA	diaA	b3149	SL1344_RS16870	STM3266	STM14_RS17375	STM474_RS16870	ortho_1371
fbaA	SL1344_RS15875	fba	fba	fbaA	b2925	SL1344_RS15875	STM3068	STM14_RS16400	STM474_RS15875	ortho_1372
gstB	SL1344_RS04365	yliJ	STM14_RS04950	STM474_RS04365	b0838	SL1344_RS04365	STM0862	STM14_RS04950	STM474_RS04365	ortho_1373
tapT	SL1344_RS13610	yfiP	STM14_RS14505	tapT	b2583	SL1344_RS13610	STM2650	STM14_RS14505	STM474_RS13610	ortho_1374
glmM	SL1344_RS17010	mrsA	STM14_RS17515	glmM	b3176	SL1344_RS17010	STM3294	STM14_RS17515	STM474_RS17010	ortho_1375
sucC	SL1344_RS03730	sucC	sucC	sucC	b0728	SL1344_RS03730	STM0738	STM14_RS04305	STM474_RS03730	ortho_1376
dtpA	SL1344_RS07215	ydgR	STM14_RS08115	dtpA	b1634	SL1344_RS07215	STM1452	STM14_RS08115	STM474_RS07215	ortho_1377
nrfE	SL1344_RS21970	nrfE	nrfF	nrfEF	b4074	SL1344_RS21970	STM4281	STM14_RS22470	STM474_RS21970	ortho_1378
yhdU	SL1344_RS17495	yhdU	STM14_RS18000	STM474_RS17495	b3263	SL1344_RS17495	STM3387	STM14_RS18000	STM474_RS17495	ortho_1379
yciI	SL1344_RS08685	yciI	yciI	STM474_RS08685	b1251	SL1344_RS08685	STM1738	STM14_RS09590	STM474_RS08685	ortho_1380
yqgA	SL1344_RS16115	yqgA	STM14_RS16640	STM474_RS16115	b2966	SL1344_RS16115	STM3115	STM14_RS16640	STM474_RS16115	ortho_1381
gpsA	SL1344_RS19065	gpsA	STM14_RS19570	gpsA	b3608	SL1344_RS19065	STM3700	STM14_RS19570	STM474_RS19065	ortho_1382
zipA	SL1344_RS12465	zipA	zipA	zipA	b2412	SL1344_RS12465	STM2428	STM14_RS13370	STM474_RS12465	ortho_1383
pyrH	SL1344_RS01105	pyrH	STM14_RS01675	pyrH	b0171	SL1344_RS01105	STM0218	STM14_RS01675	STM474_RS01105	ortho_1384
trmH	SL1344_RS19280	spoU	trmH	trmH	b3651	SL1344_RS19280	STM3743	STM14_RS19785	STM474_RS19280	ortho_1385
fabY	SL1344_RS20695	yiiD	STM14_RS21195	fabY	b3888	SL1344_RS20695	STM4029	STM14_RS21195	STM474_RS20695	ortho_1386
satP	SL1344_RS00045	yaaH	STM14_RS00610	satP	b0010	SL1344_RS00045	STM0009	STM14_RS00610	STM474_RS00045	ortho_1387
secF	SL1344_RS02090	secF	secF	secF	b0409	SL1344_RS02090	STM0408	STM14_RS02660	STM474_RS02090	ortho_1388
mutT	SL1344_RS00695	mutT	mutT	mutT	b0099	SL1344_RS00695	STM0137	STM14_RS01265	STM474_RS00695	ortho_1389
gadC	SL1344_RS12105	STM2359	STM14_RS13010	STM474_RS12105	b1492	SL1344_RS12105	STM2359	STM14_RS13010	STM474_RS12105	ortho_1390
fadK	SL1344_RS06710	ydiD	STM14_RS07610	fadK	b1701	SL1344_RS06710	STM1350	STM14_RS07610	STM474_RS06710	ortho_1391
yfiE	SL1344_RS13580	yfiE	STM14_RS14475	STM474_RS13580	b2577	SL1344_RS13580	STM2644	STM14_RS14475	STM474_RS13580	ortho_1392
cydA	SL1344_RS03745	STM1792	STM14_RS09850	cydA	b0733	SL1344_RS03745	STM1792	STM14_RS09850	STM474_RS03745	ortho_1393
rpoZ	SL1344_RS19270	rpoZ	STM14_RS19775	rpoZ	b3649	SL1344_RS19270	STM3741	STM14_RS19775	STM474_RS19270	ortho_1394
thpR	SL1344_RS00955	ligT	STM14_RS01525	thpR	b0147	SL1344_RS00955	STM0188	STM14_RS01525	STM474_RS00955	ortho_1395
yohC	SL1344_RS11150	yohC	STM14_RS12055	STM474_RS11150	b2135	SL1344_RS11150	STM2169	STM14_RS12055	STM474_RS11150	ortho_1396
rseD	NA	NA	NA	rseD	b4725	NA	NA	NA	STM474_RS27055	ortho_1397
rplK	rplK	rplK	STM14_RS21800	rplK	b3983	SL1344_RS21300	STM4149	STM14_RS21800	STM474_RS21300	ortho_1398
queE	SL1344_RS15265	ygcF	queE	queE	b2777	SL1344_RS15265	STM2951	STM14_RS15795	STM474_RS15265	ortho_1399
