gene_id	start	stop	strand	gene_name	product	tu	GeneID	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
STM1388	1473811	1474023	D	fumD	Fumarase D,hypothetical protein	fumD // ttrR // ttrS	1252906	NC_003197.2	NP_460353.1	194701	NA	NA	STM1388,fumD,orf70,NP_460353.1,ydhZ	NP_460353.1,Fumarase D,FumD,YdhZ,YdhZ // FumD
STM1389	1474119	1475078	R	orf319	putative inner membrane protein,hypothetical protein	orf319	1252907	NC_003197.2	NP_460354.1	194701	NA	NA	STM1389,orf319,NP_460354.1	NP_460354.1,putative inner membrane protein
STM1390	1475251	1475979	R	orf242	helix-turn-helix-type transcriptional regulator,helix-turn-helix-type transcriptional regulator	orf242	1252908	NC_003197.2	NP_460355.1	194701	MerR_1	-	STM1390,orf242,NP_460355.1,PF13411.5	NP_460355.1,helix-turn-helix-type transcriptional regulator,MerR_1
STM1391	1476158	1476796	R	ssrB	DNA-binding response regulator,DNA-binding response regulator	ssrA // ssrB	1252909	NC_003197.2	NP_460356.1	194701	GerE	-	STM1391,ssrB,NP_460356.1,PF00196.18	NP_460356.1,DNA-binding response regulator,SsrB,GerE
STM1392	1476827	1479589	R	ssrA	hybrid sensor histidine kinase/response regulator,hybrid sensor histidine kinase/response regulator	ssrA // ssrB	1252910	NC_003197.2	NP_460357.1	194701	NA	NA	STM1392,ssrA,NP_460357.1	NP_460357.1,hybrid sensor histidine kinase/response regulator,SsrA
STM1393	1479990	1480391	D	ssaB	pathogenicity island chaperone protein,pathogenicity island chaperone protein SpiC	ssaE // ssaD // ssaC // ssaB	1252911	NC_003197.2	NP_460358.1	194701	NA	NA	STM1393,ssaB,NP_460358.1	NP_460358.1,pathogenicity island chaperone protein,SsaB
STM1394	1480393	1481886	D	ssaC	EscC/YscC/HrcC family type III secretion system outer membrane ring protein,EscC/YscC/HrcC family type III secretion system outer membrane ring protein	ssaE // ssaD // ssaC // ssaB	1252912	NC_003197.2	NP_460359.1	194701	NA	NA	STM1394,ssaC,NP_460359.1	NP_460359.1,EscC/YscC/HrcC family type III secretion system outer membrane ring protein,SsaC
STM1395	1481867	1483078	D	ssaD	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein,EscD/YscD/HrpQ family type III secretion system inner membrane ring protein	ssaE // ssaD // ssaC // ssaB	1252913	NC_003197.2	NP_460360.1	194701	NA	NA	STM1395,ssaD,NP_460360.1	NP_460360.1,EscD/YscD/HrpQ family type III secretion system inner membrane ring protein,SsaD
STM1396	1483086	1483328	D	ssaE	EscE/YscE/SsaE family type III secretion system needle protein co-chaperone,EscE/YscE/SsaE family type III secretion system needle protein co-chaperone	ssaE // ssaD // ssaC // ssaB	1252914	NC_003197.2	NP_460361.1	194701	NA	NA	STM1396,ssaE,NP_460361.1	NP_460361.1,EscE/YscE/SsaE family type III secretion system needle protein co-chaperone,SsaE
STM1397	1483592	1483918	D	sseA	type III secretion system chaperone,type III secretion system chaperone SseA	sseE // sseD // sseC // sscA // sseB // sseA	1252915	NC_003197.2	NP_460362.1	194701	NA	NA	STM1397,sseA,NP_460362.1	NP_460362.1,3-mercaptopyruvate sulfurtransferase,SseA,type III secretion system chaperone
STM1398	1483925	1484515	D	sseB	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseB	sseE // sseD // sseC // sscA // sseB // sseA	1252916	NC_003197.2	NP_460363.1	194701	NA	NA	STM1398,sseB,NP_460363.1	NP_460363.1,enhances serine sensitivity,pathogenicity island 2 effector protein,SseB
STM1399	1484512	1484985	D	sscA	CesD/SycD/LcrH family type III secretion system chaperone,CesD/SycD/LcrH family type III secretion system chaperone	sseE // sseD // sseC // sscA // sseB // sseA	1252917	NC_003197.2	NP_460364.1	194701	NA	NA	STM1399,sscA,NP_460364.1	NP_460364.1,CesD/SycD/LcrH family type III secretion system chaperone,SscA
STM1400	1484988	1486442	D	sseC	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseC	sseE // sseD // sseC // sscA // sseB // sseA	1252918	NC_003197.2	NP_460365.1	194701	NA	NA	STM1400,sseC,NP_460365.1	NP_460365.1,pathogenicity island 2 effector protein,SseC
STM1401	1486458	1487045	D	sseD	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseD	sseE // sseD // sseC // sscA // sseB // sseA	1252919	NC_003197.2	NP_460366.1	194701	NA	NA	STM1401,sseD,NP_460366.1	NP_460366.1,pathogenicity island 2 effector protein,SseD
STM1402	1487048	1487464	D	sseE	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseE	sseE // sseD // sseC // sscA // sseB // sseA	1252920	NC_003197.2	NP_460367.1	194701	NA	NA	STM1402,sseE,NP_460367.1	NP_460367.1,pathogenicity island 2 effector protein,SseE
STM1403	1487516	1487950	D	sscB	CesD/SycD/LcrH family type III secretion system chaperone,CesD/SycD/LcrH family type III secretion system chaperone	sseG // sseF // sscB	1252921	NC_003197.2	NP_460368.1	194701	NA	NA	STM1403,sscB,NP_460368.1	NP_460368.1,CesD/SycD/LcrH family type III secretion system chaperone,SscB
STM1404	1487966	1488748	D	sseF	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseF	sseG // sseF // sscB	1252922	NC_003197.2	NP_460369.1	194701	NA	NA	STM1404,sseF,NP_460369.1	NP_460369.1,pathogenicity island 2 effector protein,SseF
STM1405	1488745	1489434	D	sseG	pathogenicity island 2 effector protein,pathogenicity island 2 effector protein SseG	sseG // sseF // sscB	1252923	NC_003197.2	NP_460370.1	194701	NA	NA	STM1405,sseG,NP_460370.1	NP_460370.1,pathogenicity island 2 effector protein,SseG
STM1406	1489528	1489743	D	ssaG	secretion system apparatus,secretion system apparatus	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252924	NC_003197.2	NP_460371.1	194701	NA	NA	STM1406,ssaG,NP_460371.1	NP_460371.1,secretion system apparatus,SsaG
STM1407	1489784	1490011	D	ssaH	secretion system apparatus,secretion system apparatus	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252925	NC_003197.2	NP_460372.1	194701	NA	NA	STM1407,ssaH,NP_460372.1	NP_460372.1,secretion system apparatus,SsaH
STM1408	1490023	1490271	D	ssaI	EscI/YscI/HrpB family type III secretion system inner rod protein,EscI/YscI/HrpB family type III secretion system inner rod protein	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252926	NC_003197.2	NP_460373.1	194701	NA	NA	STM1408,ssaI,NP_460373.1	NP_460373.1,EscI/YscI/HrpB family type III secretion system inner rod protein,SsaI
STM1409	1490268	1491017	D	ssaJ	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein,EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252927	NC_003197.2	NP_460374.1	194701	NA	NA	STM1409,ssaJ,NP_460374.1	NP_460374.1,EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein,SsaJ
STM1410	1491035	1491583	D	STM1410	putative cytoplasmic protein,hypothetical protein	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252928	NC_003197.2	NP_460375.1	194701	NA	NA	STM1410,NP_460375.1	NP_460375.1,putative cytoplasmic protein
STM1411	1491580	1492254	D	ssaK	type III secretion system protein,type III secretion system protein SsaK	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252929	NC_003197.2	NP_460376.1	194701	NA	NA	STM1411,ssaK,NP_460376.1	NP_460376.1,SsaK,type III secretion system protein
STM1412	1492220	1493236	D	ssaL	secretion system apparatus protein,secretion system apparatus protein	ssaL // ssaK // STM1410 // ssaJ // ssaI // ssaH // ssaG	1252930	NC_003197.2	NP_460377.1	194701	NA	NA	STM1412,ssaL,NP_460377.1	NP_460377.1,secretion system apparatus protein,SsaL
STM1413	1493294	1493662	D	ssaM	type III secretion system protein,type III secretion system protein SsaM	ssaM	1252931	NC_003197.2	NP_460378.1	194701	NA	NA	STM1413,ssaM,NP_460378.1	NP_460378.1,SsaM,type III secretion system protein
STM1414	1493647	1495692	D	ssaV	EscV/YscV/HrcV family type III secretion system export apparatus protein,EscV/YscV/HrcV family type III secretion system export apparatus protein	ssaO // ssaN // ssaV	1252932	NC_003197.2	NP_460379.1	194701	NA	NA	STM1414,ssaV,NP_460379.1	NP_460379.1,EscV/YscV/HrcV family type III secretion system export apparatus protein,SsaV
STM1415	1495682	1496983	D	ssaN	EscN/YscN/HrcN family type III secretion system ATPase,EscN/YscN/HrcN family type III secretion system ATPase	ssaO // ssaN // ssaV	1252933	NC_003197.2	NP_460380.1	194701	NA	NA	STM1415,ssaN,NP_460380.1	NP_460380.1,EscN/YscN/HrcN family type III secretion system ATPase,SsaN
STM1416	1496986	1497363	D	ssaO	type III secretion system protein,type III secretion system protein SsaO	ssaO // ssaN // ssaV	1252934	NC_003197.2	NP_460381.1	194701	NA	NA	STM1416,ssaO,NP_460381.1	NP_460381.1,SsaO,type III secretion system protein
STM1417	1497344	1497718	D	ssaP	type III secretion system protein,type III secretion system protein SsaP	ssaP	1252935	NC_003197.2	NP_460382.1	194701	NA	NA	STM1417,ssaP,NP_460382.1	NP_460382.1,SsaP,type III secretion system protein
STM1418	1497699	1498667	D	ssaQ	type III secretion system protein,type III secretion system protein SsaQ	ssaQ	1252936	NC_003197.2	NP_460383.1	194701	NA	NA	STM1418,ssaQ,NP_460383.1	NP_460383.1,SsaQ,type III secretion system protein
STM1419	1498735	1499382	D	ssaR	EscR/YscR/HrcR family type III secretion system export apparatus protein,EscR/YscR/HrcR family type III secretion system export apparatus protein	ssaU // ssaT // ssaS // ssaR	1252937	NC_003197.2	NP_460384.1	194701	NA	NA	STM1419,ssaR,NP_460384.1	NP_460384.1,EscR/YscR/HrcR family type III secretion system export apparatus protein,SsaR
STM1420	1499379	1499645	D	ssaS	EscS/YscS/HrcS family type III secretion system export apparatus protein,EscS/YscS/HrcS family type III secretion system export apparatus protein	ssaU // ssaT // ssaS // ssaR	1252938	NC_003197.2	NP_460385.1	194701	NA	NA	STM1420,ssaS,NP_460385.1	NP_460385.1,EscS/YscS/HrcS family type III secretion system export apparatus protein,SsaS
STM1421	1499646	1500425	D	ssaT	EscT/YscT/HrcT family type III secretion system export apparatus protein,EscT/YscT/HrcT family type III secretion system export apparatus protein	ssaU // ssaT // ssaS // ssaR	1252939	NC_003197.2	NP_460386.1	194701	NA	NA	STM1421,ssaT,NP_460386.1	NP_460386.1,EscT/YscT/HrcT family type III secretion system export apparatus protein,SsaT
STM1422	1500422	1501480	D	ssaU	EscU/YscU/HrcU family type III secretion system export apparatus switch protein,EscU/YscU/HrcU family type III secretion system export apparatus switch protein	ssaU // ssaT // ssaS // ssaR	1252940	NC_003197.2	NP_460387.1	194701	NA	NA	STM1422,ssaU,NP_460387.1	NP_460387.1,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,SsaU
STM1423	1501631	1501704	NA	valW	tRNA-Val	valV // valW	NA	NA	NA	NA	NA	NA	STM1423,valW	
STM1424	1501718	1501791	NA	valV	tRNA-Val	valV // valW	NA	NA	NA	NA	NA	NA	STM1424,valV	
STM1425	1501953	1503326	R	mdtK	multidrug resistance protein,MATE family efflux transporter	mdtK	1252943	NC_003197.2	NP_460388.2	194701	NA	NA	STM1425,mdtK,ydhE,NP_460388.2,norM // ydhE	NP_460388.2,MdtK,multidrug resistance protein,NorM,NorM // MdtK // YdhE,YdhE
STM1426	1503543	1504184	D	ribE	riboflavin synthase subunit alpha,riboflavin synthase subunit alpha	ribE	1252944	NC_003197.2	NP_460389.1	194701	NA	NA	STM1426,ribE,NP_460389.1	NP_460389.1,RibE,riboflavin synthase subunit alpha
STM1427	1504226	1505374	R	cfa	cyclopropane-fatty-acyl-phospholipid synthase,cyclopropane-fatty-acyl-phospholipid synthase	cfa	1252945	NC_003197.2	NP_460390.1	194701	NA	NA	STM1427,cfa,NP_460390.1	NP_460390.1,Cfa,cyclopropane-fatty-acyl-phospholipid synthase
STM1428	1505664	1506869	R	ydhC	Bcr/CflA family multidrug efflux transporter,Bcr/CflA family multidrug efflux transporter	ydhC	1252946	NC_003197.2	NP_460391.1	194701	NA	NA	STM1428,ydhC,NP_460391.1	NP_460391.1,Bcr/CflA family multidrug efflux transporter,YdhC
STM1429	1506982	1507914	D	ydhB	putative LysR family transcriptional regulator,putative LysR family transcriptional regulator	ydhB	1252947	NC_003197.2	NP_460392.1	194701	HTH_1	-	STM1429,ydhB,NP_460392.1,PF00126.26	NP_460392.1,putative LysR family transcriptional regulator,YdhB,HTH_1
STM1430	1507911	1508936	R	purR	transcriptional repressor,transcriptional repressor	purR	1252948	NC_003197.2	NP_460393.1	194701	LacI	PURR_ECOLI	STM1430,purR,NP_460393.1,PF00356.20	NP_460393.1,PurR,transcriptional repressor,LacI
STM1431	1509404	1509985	R	sodB	superoxide dismutase,superoxide dismutase	sodB	1252949	NC_003197.2	NP_460394.1	194701	NA	NA	STM1431,sodB,NP_460394.1	NP_460394.1,SodB,superoxide dismutase
STM1432	1510112	1510966	R	ydhO	putative cell wall-associated hydrolase,putative cell wall-associated hydrolase	ydhO	1252950	NC_003197.2	NP_460395.1	194701	NA	NA	STM1432,ydhO,NP_460395.1	NP_460395.1,putative cell wall-associated hydrolase,YdhO
STM1433	1511268	1511615	D	ydhD	Grx4 family monothiol glutaredoxin,Grx4 family monothiol glutaredoxin	ydhD	1252951	NC_003197.2	NP_460396.1	194701	NA	NA	STM1433,ydhD,NP_460396.1	NP_460396.1,Grx4 family monothiol glutaredoxin,YdhD
STM1434	1511693	1512340	R	rnt	ribonuclease T,ribonuclease T	rnt	1252952	NC_003197.2	NP_460397.1	194701	NA	NA	STM1434,rnt,NP_460397.1	NP_460397.1,ribonuclease T,Rnt
STM1435	1512441	1512848	R	gloA	lactoylglutathione lyase,lactoylglutathione lyase	gloA	1252953	NC_003197.2	NP_460398.1	194701	NA	NA	STM1435,gloA,NP_460398.1	NP_460398.1,GloA,lactoylglutathione lyase
STM1436	1512917	1514014	R	nemA	N-ethylmaleimide reductase,N-ethylmaleimide reductase	nemA	1252954	NC_003197.2	NP_460399.1	194701	NA	NA	STM1436,nemA,NP_460399.1	NP_460399.1,N-ethylmaleimide reductase,NemA
STM1437	1514073	1514672	R	ydhM	TetR family transcriptional regulator,TetR family transcriptional regulator	ydhM	1252955	NC_003197.2	NP_460400.1	194701	TetR_N	NEMR_ECOLI	STM1437,ydhM,NP_460400.1,PF00440.22	NP_460400.1,TetR family transcriptional regulator,YdhM,TetR_N
STM1438	1514775	1515014	D	ydhL	DUF1289 domain-containing protein,DUF1289 domain-containing protein	ydhF // ydhL	1252956	NC_003197.2	NP_460401.1	194701	NA	NA	STM1438,ydhL,NP_460401.1	NP_460401.1,DUF1289 domain-containing protein,YdhL
STM1439	1515065	1515961	D	ydhF	oxidoreductase,oxidoreductase	ydhF // ydhL	1252957	NC_003197.2	NP_460402.1	194701	NA	NA	STM1439,ydhF,NP_460402.1	NP_460402.1,oxidoreductase,YdhF
STM1440	1516041	1516562	D	sodC	superoxide dismutase [Cu-Zn] 2,superoxide dismutase	sodC	1252958	NC_003197.2	NP_460403.1	194701	NA	NA	STM1440,sodC,NP_460403.1,sodC2	NP_460403.1,SodC,SodC // SodCII,SodCII,superoxide dismutase [Cu-Zn] 2
STM1441	1516538	1518577	R	STM1441	fusaric acid resistance protein,fusaric acid resistance protein	ydhI // ydhJ // STM1441	1252959	NC_003197.2	NP_460404.1	194701	NA	NA	STM1441,NP_460404.1	NP_460404.1,fusaric acid resistance protein
STM1442	1518577	1519473	R	ydhJ	putative multidrug resistance efflux pump,putative multidrug resistance efflux pump	ydhI // ydhJ // STM1441	1252960	NC_003197.2	NP_460405.1	194701	NA	NA	STM1442,ydhJ,NP_460405.1	NP_460405.1,putative multidrug resistance efflux pump,YdhJ
STM1443	1519440	1519676	R	ydhI	putative inner membrane protein,hypothetical protein	ydhI // ydhJ // STM1441	1252961	NC_003197.2	NP_460406.1	194701	NA	NA	STM1443,ydhI,NP_460406.1	NP_460406.1,putative inner membrane protein,YdhI
STM1444	1519871	1520311	D	slyA	MarR family transcriptional regulator for hemolysin,MarR family transcriptional regulator for hemolysin	slyA	1252962	NC_003197.2	NP_460407.3	194701	NA	NA	STM1444,slyA,NP_460407.3	NP_460407.3,MarR family transcriptional regulator for hemolysin,SlyA
STM1445	1520359	1520826	R	slyB	Outer membrane lipoprotein,hypothetical protein	slyB	1252963	NC_003197.2	NP_460408.1	194701	NA	NA	STM1445,slyB,NP_460408.1	NP_460408.1,Outer membrane lipoprotein,SlyB
STM1446	1521098	1522219	D	ydhH	anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase	ydhH	1252964	NC_003197.2	NP_460409.1	194701	NA	NA	STM1446,ydhH,NP_460409.1	NP_460409.1,anhydro-N-acetylmuramic acid kinase,YdhH
STM1447	1522307	1522636	D	ydhA	lysozyme inhibitor,lysozyme inhibitor	ydhA	1252965	NC_003197.2	NP_460410.1	194701	NA	NA	STM1447,ydhA,NP_460410.1	NP_460410.1,lysozyme inhibitor,YdhA
STM1448	1522695	1523351	D	pdxH	pyridoxamine 5'-phosphate oxidase,pyridoxamine 5'-phosphate oxidase	pdxH	1252966	NC_003197.2	NP_460411.1	194701	NA	NA	STM1448,pdxH,NP_460411.1	NP_460411.1,PdxH,pyridoxamine 5'-phosphate oxidase
STM1449	1523478	1524752	D	tyrS	tyrosine--tRNA ligase,tyrosine--tRNA ligase	pdxY // tyrS	1252967	NC_003197.2	NP_460412.1	194701	NA	NA	STM1449,tyrS,NP_460412.1	NP_460412.1,tyrosine--tRNA ligase,TyrS
STM1450	1524812	1525672	D	pdxY	pyridoxal kinase,pyridoxal kinase	pdxY // tyrS	1252968	NC_003197.2	NP_460413.1	194701	NA	NA	STM1450,pdxY,NP_460413.1	NP_460413.1,PdxY,pyridoxal kinase
STM1451	1525731	1526336	R	gst	glutathione transferase,glutathione transferase GstA	gst	1252969	NC_003197.2	NP_460414.1	194701	NA	NA	STM1451,gst,NP_460414.1	NP_460414.1,glutathione transferase,Gst
STM1452	1526441	1527946	R	ydgR	dipeptide/tripeptide permease A,dipeptide/tripeptide permease A	ydgR	1252970	NC_003197.2	NP_460415.1	194701	NA	NA	STM1452,ydgR,NP_460415.1,tppB	NP_460415.1,dipeptide/tripeptide permease A,TppB,TppB // YdgR,YdgR
STM1453	1528548	1529183	R	nth	DNA glycosylase/apyrimidinic (AP) lyase,DNA glycosylase/apyrimidinic (AP) lyase	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252971	NC_003197.2	NP_460416.1	194701	NA	NA	STM1453,nth,NP_460416.1	NP_460416.1,DNA glycosylase/apyrimidinic (AP) lyase,Nth
STM1454	1529183	1529875	R	ydgQ	electron transport complex subunit,electron transport complex subunit RsxE	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252972	NC_003197.2	NP_460417.1	194701	NA	NA	STM1454,ydgQ,NP_460417.1	NP_460417.1,electron transport complex subunit,YdgQ
STM1455	1529878	1530498	R	ydgP	electron transport complex subunit,electron transport complex subunit RsxG	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252973	NC_003197.2	NP_460418.1	194701	NA	NA	STM1455,ydgP,NP_460418.1	NP_460418.1,electron transport complex subunit,YdgP
STM1456	1530502	1531560	R	ydgO	electron transport complex subunit,electron transport complex subunit RsxD	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252974	NC_003197.2	NP_460419.1	194701	NA	NA	STM1456,ydgO,NP_460419.1	NP_460419.1,electron transport complex subunit,YdgO
STM1457	1531561	1533768	R	rsxC	electron transport complex subunit,electron transport complex subunit RsxC	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252975	NC_003197.2	NP_460420.1	194701	NA	NA	STM1457,rsxC,NP_460420.1	NP_460420.1,electron transport complex subunit,RsxC
STM1458	1533761	1534339	R	ydgM	electron transport complex subunit,electron transport complex subunit RsxB	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252976	NC_003197.2	NP_460421.1	194701	NA	NA	STM1458,ydgM,NP_460421.1	NP_460421.1,electron transport complex subunit,YdgM
STM1459	1534339	1534920	R	rsxA	electron transport complex subunit,electron transport complex subunit RsxA	rsxA // ydgM // rsxC // ydgO // ydgP // ydgQ // nth	1252977	NC_003197.2	NP_460422.1	194701	NA	NA	STM1459,rsxA,NP_460422.1	NP_460422.1,electron transport complex subunit,RsxA
STM1460	1534997	1535437	R	ydgK	putative inner membrane protein,hypothetical protein	ydgK	1252978	NC_003197.2	NP_460423.1	194701	NA	NA	STM1460,ydgK,NP_460423.1	NP_460423.1,putative inner membrane protein,YdgK
STM1461	1535526	1535741	R	ydgT	oriC-binding nucleoid-associated protein,oriC-binding nucleoid-associated protein	ydgT	1252979	NC_003197.2	NP_460424.3	194701	HHA	-	STM1461,ydgT,NP_460424.3,cnu,PF05321.10	NP_460424.3,Cnu,Cnu // YdgT,oriC-binding nucleoid-associated protein,YdgT,HHA
STM1462	1536297	1537412	D	ydgJ	putative oxidoreductase,putative oxidoreductase	ydgJ	1252980	NC_003197.2	NP_460425.3	194701	NA	NA	STM1462,ydgJ,NP_460425.3	NP_460425.3,putative oxidoreductase,YdgJ
STM1463	1537487	1538488	R	add	adenosine deaminase,adenosine deaminase	add	1252981	NC_003197.2	NP_460426.1	194701	NA	NA	STM1463,add,NP_460426.1	NP_460426.1,Add,adenosine deaminase
STM1464	1538711	1538844	NA	malY		malX // malY	NA	NA	NA	NA	NA	NA	STM1464,malY	
STM1465	1538854	1539073	NA	malX		malX // malY	NA	NA	NA	NA	NA	NA	STM1465,malX	
STM1466	1539192	1540700	R	ydgA	putative periplasmic protein,hypothetical protein	ydgA	1252984	NC_003197.2	NP_460427.1	194701	NA	NA	STM1466,ydgA,NP_460427.1	NP_460427.1,putative periplasmic protein,YdgA
STM1467	1540803	1541978	R	manA	mannose-6-phosphate isomerase,mannose-6-phosphate isomerase	manA	1252985	NC_003197.2	NP_460428.1	194701	NA	NA	STM1467,manA,NP_460428.1,pmi	NP_460428.1,ManA,mannose-6-phosphate isomerase,Pmi,Pmi // ManA
STM1468	1542178	1543824	D	fumA	fumarate hydratase,fumarate hydratase	fumC // fumA	1252986	NC_003197.2	NP_460429.2	194701	NA	NA	STM1468,fumA,NP_460429.2	NP_460429.2,FumA,fumarate hydratase
STM1469	1543992	1545395	D	fumC	class II fumarate hydratase,class II fumarate hydratase	fumC // fumA	1252987	NC_003197.2	NP_460430.1	194701	NA	NA	STM1469,fumC,NP_460430.1	NP_460430.1,class II fumarate hydratase,FumC
STM1470	1545392	1546321	R	tus	DNA replication terminus site-binding protein,DNA replication terminus site-binding protein	tus	1252988	NC_003197.2	NP_460431.1	194701	NA	NA	STM1470,tus,NP_460431.1	NP_460431.1,DNA replication terminus site-binding protein,Tus
STM1471	1546397	1547698	R	rstB	two-component system sensor histidine kinase,two-component system sensor histidine kinase RstB	rstB	1252989	NC_003197.2	NP_460432.1	194701	NA	NA	STM1471,rstB,NP_460432.1	NP_460432.1,RstB,two-component system sensor histidine kinase
STM1472	1547809	1549515	R	STM1472	putative periplasmic protein,putative periplasmic protein	STM1472	1252990	NC_003197.2	NP_460433.1	194701	NA	NA	STM1472,NP_460433.1	NP_460433.1,putative periplasmic protein
STM1473	1549668	1550801	R	ompN	Outer membrane protein N,hypothetical protein	ompN	1252991	NC_003197.2	NP_460434.1	194701	NA	NA	STM1473,ompN,NP_460434.1	NP_460434.1,OmpN,Outer membrane protein N
STM1474	1550858	1551216	NA	STM1474		STM1474	NA	NA	NA	NA	NA	NA	STM1474	
STM1475	1551281	1552012	R	rstA	two-component system response regulator,two-component system response regulator RstA	rstA	1252993	NC_003197.2	NP_460435.1	194701	Trans_reg_C	RSTA_ECOLI	STM1475,rstA,NP_460435.1,PF00486.27	NP_460435.1,RstA,two-component system response regulator,Trans_reg_C
STM1476	1552139	1552474	D	ydgC	putative inner membrane protein,hypothetical protein	ydgC	1252994	NC_003197.2	NP_460436.1	194701	NA	NA	STM1476,ydgC,NP_460436.1	NP_460436.1,putative inner membrane protein,YdgC
STM1477	1552536	1553918	R	ydgI	putative amino acid transporter,putative amino acid transporter	ydgI	1252995	NC_003197.2	NP_460437.1	194701	NA	NA	STM1477,ydgI,NP_460437.1	NP_460437.1,putative amino acid transporter,YdgI
STM1478	1554217	1555161	R	ydgH	putative periplasmic protein,hypothetical protein	ydgH	1252996	NC_003197.2	NP_460438.1	194701	NA	NA	STM1478,ydgH,NP_460438.1	NP_460438.1,putative periplasmic protein,YdgH
STM1479	1555688	1557217	D	pntA	NAD(P) transhydrogenase subunit alpha,NAD(P) transhydrogenase subunit alpha	pntB // pntA	1252997	NC_003197.2	NP_460439.1	194701	NA	NA	STM1479,pntA,NP_460439.1	NP_460439.1,NAD(P) transhydrogenase subunit alpha,PntA
STM1480	1557228	1558616	D	pntB	NAD(P) transhydrogenase subunit beta,NAD(P) transhydrogenase subunit beta	pntB // pntA	1252998	NC_003197.2	NP_460440.1	194701	NA	NA	STM1480,pntB,NP_460440.1	NP_460440.1,NAD(P) transhydrogenase subunit beta,PntB
STM1481	1558791	1559825	R	STM1481	pheromone autoinducer 2 transporter,pheromone autoinducer 2 transporter	STM1481	1252999	NC_003197.2	NP_460441.1	194701	NA	NA	STM1481,NP_460441.1	NP_460441.1,pheromone autoinducer 2 transporter
STM1482	1560243	1560605	D	ydgF	multidrug transporter subunit,multidrug transporter subunit MdtJ	ydgF	1253000	NC_003197.2	NP_460442.1	194701	NA	NA	STM1482,ydgF,NP_460442.1	NP_460442.1,multidrug transporter subunit,YdgF
STM1483	1560592	1560921	D	mdtI	spermidine export protein,multidrug transporter subunit MdtI	mdtI	1253001	NC_003197.2	NP_460443.1	194701	NA	NA	STM1483,mdtI,ydgE,NP_460443.1	NP_460443.1,MdtI,MdtI // YdgE,spermidine export protein,YdgE
STM1484	1560961	1561782	R	STM1484	serine protease,serine protease	STM1484	1253002	NC_003197.2	NP_460444.1	194701	NA	NA	STM1484,NP_460444.1	NP_460444.1,serine protease
STM1485	1562051	1562335	R	STM1485	acid shock protein,acid shock protein	STM1485	1253003	NC_003197.2	NP_460445.3	194701	NA	NA	STM1485,NP_460445.3	NP_460445.3,acid shock protein
STM1486	1562694	1563947	R	ynfM	putative MFS familty transport protein,hypothetical protein	ynfM	1253004	NC_003197.2	NP_460446.1	194701	NA	NA	STM1486,ynfM,NP_460446.1	NP_460446.1,putative MFS familty transport protein,YnfM
STM1487	1564067	1564966	D	ynfL	putative LysR family transcriptional regulator,putative LysR family transcriptional regulator	ynfL	1253005	NC_003197.2	NP_460447.1	194701	HTH_1	-	STM1487,ynfL,NP_460447.1,PF00126.26	NP_460447.1,putative LysR family transcriptional regulator,YnfL,HTH_1
STM1488	1565094	1566314	D	mlc	transcriptional regulator,transcriptional regulator	mlc	1253006	NC_003197.2	NP_460448.1	194701	-	MLC_ECOLI	STM1488,mlc,NP_460448.1,-	NP_460448.1,Mlc,transcriptional regulator,-
STM1489	1566440	1567135	D	ynfK	putative dethiobiotin synthase,putative dethiobiotin synthase	ynfK	1253007	NC_003197.2	NP_460449.1	194701	NA	NA	STM1489,ynfK,NP_460449.1	NP_460449.1,putative dethiobiotin synthase,YnfK
STM1490	1567091	1568380	R	clcB	voltage-gated ClC-type chloride channel,voltage-gated ClC-type chloride channel ClcB	clcB	1253008	NC_003197.2	NP_460450.3	194701	NA	NA	STM1490,clcB,NP_460450.3	NP_460450.3,ClcB,voltage-gated ClC-type chloride channel
